instant,dateday,season,year,month,hour,holiday,weekday,workingday,weather_situation,temp,atemp,humidity,windspeed,casual,registered,total,time_of_day
3162,2011-05-16,Summer,0,May,15,0,Mon,1,Clear/Partly Cloudy,0.72,0.6667,0.51,0.0,55,110,165,Afternoon
3163,2011-05-16,Summer,0,May,16,0,Mon,1,Light Snow/Rain,0.6,0.5758,0.78,0.2537,45,181,226,Night
3164,2011-05-16,Summer,0,May,17,0,Mon,1,Clear/Partly Cloudy,0.58,0.5455,0.88,0.2239,47,227,274,Night
3165,2011-05-16,Summer,0,May,18,0,Mon,1,Light Snow/Rain,0.58,0.5455,0.83,0.194,55,398,453,Night
3166,2011-05-16,Summer,0,May,19,0,Mon,1,Clear/Partly Cloudy,0.58,0.5455,0.83,0.2537,36,272,308,Night
3167,2011-05-16,Summer,0,May,20,0,Mon,1,Clear/Partly Cloudy,0.58,0.5455,0.83,0.0,31,167,198,Night
3168,2011-05-16,Summer,0,May,21,0,Mon,1,Clear/Partly Cloudy,0.58,0.5455,0.83,0.0,28,149,177,Night
3169,2011-05-16,Summer,0,May,22,0,Mon,1,Clear/Partly Cloudy,0.56,0.5303,0.88,0.0896,22,105,127,Night
3170,2011-05-16,Summer,0,May,23,0,Mon,1,Clear/Partly Cloudy,0.56,0.5303,0.88,0.0896,18,39,57,Night
3171,2011-05-17,Summer,0,May,0,0,Tue,1,Misty/Cloudy,0.56,0.5303,0.88,0.0,13,18,31,Morning
3172,2011-05-17,Summer,0,May,1,0,Tue,1,Light Snow/Rain,0.56,0.5303,0.88,0.0,7,6,13,Morning
3173,2011-05-17,Summer,0,May,2,0,Tue,1,Light Snow/Rain,0.56,0.5303,0.88,0.0,4,4,8,Morning
3174,2011-05-17,Summer,0,May,3,0,Tue,1,Light Snow/Rain,0.54,0.5152,0.94,0.2537,1,3,4,Morning
3175,2011-05-17,Summer,0,May,4,0,Tue,1,Light Snow/Rain,0.54,0.5152,0.94,0.2537,2,2,4,Morning
3176,2011-05-17,Summer,0,May,5,0,Tue,1,Light Snow/Rain,0.52,0.5,0.94,0.2537,0,22,22,Morning
3177,2011-05-17,Summer,0,May,6,0,Tue,1,Light Snow/Rain,0.52,0.5,0.94,0.2537,0,49,49,Morning
3178,2011-05-17,Summer,0,May,7,0,Tue,1,Misty/Cloudy,0.52,0.5,0.94,0.2537,13,138,151,Morning
3179,2011-05-17,Summer,0,May,8,0,Tue,1,Misty/Cloudy,0.52,0.5,0.94,0.2985,22,325,347,Afternoon
3180,2011-05-17,Summer,0,May,9,0,Tue,1,Misty/Cloudy,0.54,0.5152,0.88,0.2537,17,190,207,Afternoon
3181,2011-05-17,Summer,0,May,10,0,Tue,1,Light Snow/Rain,0.54,0.5152,0.88,0.2537,31,73,104,Afternoon
3182,2011-05-17,Summer,0,May,11,0,Tue,1,Misty/Cloudy,0.56,0.5303,0.83,0.4179,26,104,130,Afternoon
3183,2011-05-17,Summer,0,May,12,0,Tue,1,Light Snow/Rain,0.56,0.5303,0.83,0.4179,38,115,153,Afternoon
3184,2011-05-17,Summer,0,May,13,0,Tue,1,Misty/Cloudy,0.56,0.5303,0.88,0.3284,31,141,172,Afternoon
3185,2011-05-17,Summer,0,May,14,0,Tue,1,Clear/Partly Cloudy,0.62,0.5909,0.73,0.4627,61,123,184,Afternoon
3186,2011-05-17,Summer,0,May,15,0,Tue,1,Clear/Partly Cloudy,0.62,0.6061,0.69,0.4478,79,131,210,Afternoon
3187,2011-05-17,Summer,0,May,16,0,Tue,1,Clear/Partly Cloudy,0.62,0.6061,0.61,0.3284,73,217,290,Night
3188,2011-05-17,Summer,0,May,17,0,Tue,1,Clear/Partly Cloudy,0.62,0.6061,0.65,0.4179,83,521,604,Night
3189,2011-05-17,Summer,0,May,18,0,Tue,1,Clear/Partly Cloudy,0.6,0.5909,0.69,0.2985,54,426,480,Night
3190,2011-05-17,Summer,0,May,19,0,Tue,1,Clear/Partly Cloudy,0.6,0.5909,0.69,0.2537,51,298,349,Night
3191,2011-05-17,Summer,0,May,20,0,Tue,1,Clear/Partly Cloudy,0.58,0.5455,0.83,0.4179,30,253,283,Night
3192,2011-05-17,Summer,0,May,21,0,Tue,1,Clear/Partly Cloudy,0.54,0.5152,0.88,0.2537,23,151,174,Night
3193,2011-05-17,Summer,0,May,22,0,Tue,1,Misty/Cloudy,0.54,0.5152,0.88,0.2836,12,86,98,Night
3194,2011-05-17,Summer,0,May,23,0,Tue,1,Misty/Cloudy,0.54,0.5152,0.88,0.2537,7,49,56,Night
3195,2011-05-18,Summer,0,May,0,0,Wed,1,Misty/Cloudy,0.54,0.5152,0.88,0.2239,8,15,23,Morning
3196,2011-05-18,Summer,0,May,1,0,Wed,1,Misty/Cloudy,0.54,0.5152,0.88,0.2537,3,9,12,Morning
3197,2011-05-18,Summer,0,May,2,0,Wed,1,Light Snow/Rain,0.52,0.5,0.94,0.2239,1,5,6,Morning
3198,2011-05-18,Summer,0,May,3,0,Wed,1,Light Snow/Rain,0.52,0.5,0.94,0.2985,6,3,9,Morning
3199,2011-05-18,Summer,0,May,4,0,Wed,1,Light Snow/Rain,0.52,0.5,0.94,0.2985,1,2,3,Morning
3200,2011-05-18,Summer,0,May,5,0,Wed,1,Clear/Partly Cloudy,0.52,0.5,1.0,0.2239,0,9,9,Morning
3201,2011-05-18,Summer,0,May,6,0,Wed,1,Clear/Partly Cloudy,0.52,0.5,1.0,0.1343,2,99,101,Morning
3202,2011-05-18,Summer,0,May,7,0,Wed,1,Clear/Partly Cloudy,0.54,0.5152,0.88,0.194,14,260,274,Morning
3203,2011-05-18,Summer,0,May,8,0,Wed,1,Clear/Partly Cloudy,0.56,0.5303,0.88,0.2836,25,428,453,Afternoon
3204,2011-05-18,Summer,0,May,9,0,Wed,1,Light Snow/Rain,0.56,0.5303,0.83,0.2537,26,176,202,Afternoon
3205,2011-05-18,Summer,0,May,10,0,Wed,1,Light Snow/Rain,0.54,0.5152,0.88,0.2836,33,73,106,Afternoon
3206,2011-05-18,Summer,0,May,11,0,Wed,1,Misty/Cloudy,0.54,0.5152,0.94,0.0896,6,17,23,Afternoon
3207,2011-05-18,Summer,0,May,12,0,Wed,1,Clear/Partly Cloudy,0.56,0.5303,0.94,0.2985,12,42,54,Afternoon
3208,2011-05-18,Summer,0,May,13,0,Wed,1,Misty/Cloudy,0.56,0.5303,0.83,0.3284,30,92,122,Afternoon
3209,2011-05-18,Summer,0,May,14,0,Wed,1,Misty/Cloudy,0.58,0.5455,0.78,0.2836,44,94,138,Afternoon
3210,2011-05-18,Summer,0,May,15,0,Wed,1,Clear/Partly Cloudy,0.6,0.5758,0.78,0.2537,34,133,167,Afternoon
3211,2011-05-18,Summer,0,May,16,0,Wed,1,Clear/Partly Cloudy,0.6,0.5909,0.73,0.194,53,241,294,Night
3212,2011-05-18,Summer,0,May,17,0,Wed,1,Clear/Partly Cloudy,0.6,0.5909,0.69,0.1343,78,487,565,Night
3213,2011-05-18,Summer,0,May,18,0,Wed,1,Clear/Partly Cloudy,0.6,0.5909,0.73,0.2239,58,431,489,Night
3214,2011-05-18,Summer,0,May,19,0,Wed,1,Light Snow/Rain,0.56,0.5303,0.88,0.1343,43,288,331,Night
3215,2011-05-18,Summer,0,May,20,0,Wed,1,Light Snow/Rain,0.56,0.5303,0.88,0.1343,24,189,213,Night
3216,2011-05-18,Summer,0,May,21,0,Wed,1,Clear/Partly Cloudy,0.52,0.5,0.88,0.0,11,74,85,Night
3217,2011-05-18,Summer,0,May,22,0,Wed,1,Clear/Partly Cloudy,0.52,0.5,0.83,0.0,14,103,117,Night
3218,2011-05-18,Summer,0,May,23,0,Wed,1,Clear/Partly Cloudy,0.52,0.5,0.94,0.0896,10,49,59,Night
3219,2011-05-19,Summer,0,May,0,0,Thu,1,Clear/Partly Cloudy,0.52,0.5,0.94,0.1045,6,23,29,Morning
3220,2011-05-19,Summer,0,May,1,0,Thu,1,Clear/Partly Cloudy,0.5,0.4848,0.94,0.0,2,4,6,Morning
3221,2011-05-19,Summer,0,May,2,0,Thu,1,Clear/Partly Cloudy,0.5,0.4848,0.94,0.0,3,12,15,Morning
3222,2011-05-19,Summer,0,May,3,0,Thu,1,Clear/Partly Cloudy,0.48,0.4697,1.0,0.0,1,3,4,Morning
3223,2011-05-19,Summer,0,May,4,0,Thu,1,Clear/Partly Cloudy,0.48,0.4697,0.94,0.0,2,3,5,Morning
3224,2011-05-19,Summer,0,May,5,0,Thu,1,Clear/Partly Cloudy,0.48,0.4697,0.94,0.0,2,24,26,Morning
3225,2011-05-19,Summer,0,May,6,0,Thu,1,Misty/Cloudy,0.5,0.4848,0.94,0.0,17,86,103,Morning
3226,2011-05-19,Summer,0,May,7,0,Thu,1,Misty/Cloudy,0.5,0.4848,1.0,0.0,18,239,257,Morning
3227,2011-05-19,Summer,0,May,8,0,Thu,1,Misty/Cloudy,0.52,0.5,0.88,0.0,34,453,487,Afternoon
3228,2011-05-19,Summer,0,May,9,0,Thu,1,Misty/Cloudy,0.54,0.5152,0.88,0.0896,40,176,216,Afternoon
3229,2011-05-19,Summer,0,May,10,0,Thu,1,Misty/Cloudy,0.54,0.5152,0.83,0.0,35,95,130,Afternoon
3230,2011-05-19,Summer,0,May,11,0,Thu,1,Light Snow/Rain,0.54,0.5152,0.88,0.1642,53,111,164,Afternoon
3231,2011-05-19,Summer,0,May,12,0,Thu,1,Misty/Cloudy,0.58,0.5455,0.78,0.1045,38,130,168,Afternoon
3232,2011-05-19,Summer,0,May,13,0,Thu,1,Light Snow/Rain,0.58,0.5455,0.64,0.2537,44,139,183,Afternoon
3233,2011-05-19,Summer,0,May,14,0,Thu,1,Light Snow/Rain,0.54,0.5152,0.73,0.194,43,137,180,Afternoon
3234,2011-05-19,Summer,0,May,15,0,Thu,1,Clear/Partly Cloudy,0.56,0.5303,0.78,0.1642,63,125,188,Afternoon
3235,2011-05-19,Summer,0,May,16,0,Thu,1,Clear/Partly Cloudy,0.58,0.5455,0.64,0.194,55,247,302,Night
3236,2011-05-19,Summer,0,May,17,0,Thu,1,Clear/Partly Cloudy,0.56,0.5303,0.78,0.1642,60,487,547,Night
3237,2011-05-19,Summer,0,May,18,0,Thu,1,Clear/Partly Cloudy,0.6,0.6212,0.55,0.1642,59,454,513,Night
3238,2011-05-19,Summer,0,May,19,0,Thu,1,Clear/Partly Cloudy,0.58,0.5455,0.6,0.1343,65,345,410,Night
3239,2011-05-19,Summer,0,May,20,0,Thu,1,Clear/Partly Cloudy,0.54,0.5152,0.77,0.2836,46,236,282,Night
3240,2011-05-19,Summer,0,May,21,0,Thu,1,Clear/Partly Cloudy,0.54,0.5152,0.77,0.2836,29,180,209,Night
3241,2011-05-19,Summer,0,May,22,0,Thu,1,Light Snow/Rain,0.5,0.4848,0.82,0.2985,11,68,79,Night
3242,2011-05-19,Summer,0,May,23,0,Thu,1,Clear/Partly Cloudy,0.48,0.4697,0.94,0.0,9,63,72,Night
3243,2011-05-20,Summer,0,May,0,0,Fri,1,Clear/Partly Cloudy,0.46,0.4545,0.94,0.0896,15,33,48,Morning
3244,2011-05-20,Summer,0,May,1,0,Fri,1,Clear/Partly Cloudy,0.46,0.4545,1.0,0.0,8,17,25,Morning
3245,2011-05-20,Summer,0,May,2,0,Fri,1,Clear/Partly Cloudy,0.44,0.4394,1.0,0.0896,4,4,8,Morning
3246,2011-05-20,Summer,0,May,3,0,Fri,1,Clear/Partly Cloudy,0.44,0.4394,1.0,0.0,1,4,5,Morning
3247,2011-05-20,Summer,0,May,4,0,Fri,1,Clear/Partly Cloudy,0.44,0.4394,0.94,0.0896,1,4,5,Morning
3248,2011-05-20,Summer,0,May,5,0,Fri,1,Clear/Partly Cloudy,0.44,0.4394,0.94,0.1045,0,28,28,Morning
3249,2011-05-20,Summer,0,May,6,0,Fri,1,Clear/Partly Cloudy,0.46,0.4545,0.88,0.1045,15,102,117,Morning
3250,2011-05-20,Summer,0,May,7,0,Fri,1,Clear/Partly Cloudy,0.5,0.4848,0.77,0.1642,30,289,319,Morning
3251,2011-05-20,Summer,0,May,8,0,Fri,1,Clear/Partly Cloudy,0.54,0.5152,0.68,0.0,41,476,517,Afternoon
3252,2011-05-20,Summer,0,May,9,0,Fri,1,Clear/Partly Cloudy,0.54,0.5152,0.68,0.2239,35,199,234,Afternoon
3253,2011-05-20,Summer,0,May,10,0,Fri,1,Clear/Partly Cloudy,0.56,0.5303,0.64,0.194,44,104,148,Afternoon
3254,2011-05-20,Summer,0,May,11,0,Fri,1,Misty/Cloudy,0.58,0.5455,0.6,0.194,63,133,196,Afternoon
3255,2011-05-20,Summer,0,May,12,0,Fri,1,Misty/Cloudy,0.6,0.6212,0.56,0.2537,69,186,255,Afternoon
3256,2011-05-20,Summer,0,May,13,0,Fri,1,Light Snow/Rain,0.6,0.6212,0.56,0.2836,60,172,232,Afternoon
3257,2011-05-20,Summer,0,May,14,0,Fri,1,Clear/Partly Cloudy,0.62,0.6212,0.53,0.2239,66,131,197,Afternoon
3258,2011-05-20,Summer,0,May,15,0,Fri,1,Misty/Cloudy,0.6,0.6212,0.56,0.194,74,168,242,Afternoon
3259,2011-05-20,Summer,0,May,16,0,Fri,1,Misty/Cloudy,0.6,0.6212,0.53,0.1642,61,269,330,Night
3260,2011-05-20,Summer,0,May,17,0,Fri,1,Clear/Partly Cloudy,0.62,0.6212,0.53,0.0,71,483,554,Night
3261,2011-05-20,Summer,0,May,18,0,Fri,1,Clear/Partly Cloudy,0.6,0.6212,0.56,0.1642,79,394,473,Night
3262,2011-05-20,Summer,0,May,19,0,Fri,1,Clear/Partly Cloudy,0.58,0.5455,0.64,0.0896,49,253,302,Night
3263,2011-05-20,Summer,0,May,20,0,Fri,1,Clear/Partly Cloudy,0.58,0.5455,0.64,0.1045,40,180,220,Night
3264,2011-05-20,Summer,0,May,21,0,Fri,1,Clear/Partly Cloudy,0.56,0.5303,0.64,0.1045,40,155,195,Night
3265,2011-05-20,Summer,0,May,22,0,Fri,1,Clear/Partly Cloudy,0.54,0.5152,0.73,0.0,28,124,152,Night
3266,2011-05-20,Summer,0,May,23,0,Fri,1,Clear/Partly Cloudy,0.52,0.5,0.72,0.1642,15,100,115,Night
3267,2011-05-21,Summer,0,May,0,0,Sat,0,Clear/Partly Cloudy,0.52,0.5,0.77,0.1045,20,78,98,Morning
3268,2011-05-21,Summer,0,May,1,0,Sat,0,Clear/Partly Cloudy,0.52,0.5,0.72,0.0,8,64,72,Morning
3269,2011-05-21,Summer,0,May,2,0,Sat,0,Clear/Partly Cloudy,0.52,0.5,0.72,0.1045,5,35,40,Morning
3270,2011-05-21,Summer,0,May,3,0,Sat,0,Clear/Partly Cloudy,0.48,0.4697,0.82,0.1045,7,12,19,Morning
3271,2011-05-21,Summer,0,May,4,0,Sat,0,Clear/Partly Cloudy,0.46,0.4545,0.88,0.1343,1,6,7,Morning
3272,2011-05-21,Summer,0,May,5,0,Sat,0,Clear/Partly Cloudy,0.46,0.4545,0.88,0.1045,1,4,5,Morning
3273,2011-05-21,Summer,0,May,6,0,Sat,0,Clear/Partly Cloudy,0.5,0.4848,0.82,0.1343,6,22,28,Morning
3274,2011-05-21,Summer,0,May,7,0,Sat,0,Clear/Partly Cloudy,0.54,0.5152,0.73,0.1343,10,33,43,Morning
3275,2011-05-21,Summer,0,May,8,0,Sat,0,Clear/Partly Cloudy,0.56,0.5303,0.68,0.2836,29,97,126,Afternoon
3276,2011-05-21,Summer,0,May,9,0,Sat,0,Clear/Partly Cloudy,0.6,0.6061,0.64,0.2239,60,165,225,Afternoon
3277,2011-05-21,Summer,0,May,10,0,Sat,0,Clear/Partly Cloudy,0.62,0.6061,0.61,0.1045,122,201,323,Afternoon
3278,2011-05-21,Summer,0,May,11,0,Sat,0,Clear/Partly Cloudy,0.64,0.6212,0.53,0.1343,173,245,418,Afternoon
3279,2011-05-21,Summer,0,May,12,0,Sat,0,Clear/Partly Cloudy,0.66,0.6212,0.5,0.0,222,271,493,Afternoon
3280,2011-05-21,Summer,0,May,13,0,Sat,0,Clear/Partly Cloudy,0.7,0.6364,0.45,0.0,191,271,462,Afternoon
3281,2011-05-21,Summer,0,May,14,0,Sat,0,Clear/Partly Cloudy,0.72,0.6515,0.42,0.0,187,269,456,Afternoon
3282,2011-05-21,Summer,0,May,15,0,Sat,0,Clear/Partly Cloudy,0.72,0.6515,0.45,0.2537,232,274,506,Afternoon
3283,2011-05-21,Summer,0,May,16,0,Sat,0,Misty/Cloudy,0.72,0.6515,0.39,0.2537,204,267,471,Night
3284,2011-05-21,Summer,0,May,17,0,Sat,0,Misty/Cloudy,0.72,0.6515,0.42,0.1642,191,253,444,Night
3285,2011-05-21,Summer,0,May,18,0,Sat,0,Misty/Cloudy,0.7,0.6364,0.45,0.1642,191,253,444,Night
3286,2011-05-21,Summer,0,May,19,0,Sat,0,Clear/Partly Cloudy,0.68,0.6364,0.47,0.1642,117,184,301,Night
3287,2011-05-21,Summer,0,May,20,0,Sat,0,Clear/Partly Cloudy,0.62,0.6061,0.61,0.0,84,164,248,Night
3288,2011-05-21,Summer,0,May,21,0,Sat,0,Clear/Partly Cloudy,0.62,0.6061,0.61,0.1045,77,150,227,Night
3289,2011-05-21,Summer,0,May,22,0,Sat,0,Clear/Partly Cloudy,0.6,0.5909,0.69,0.1343,78,126,204,Night
3290,2011-05-21,Summer,0,May,23,0,Sat,0,Clear/Partly Cloudy,0.58,0.5455,0.78,0.0896,42,103,145,Night
3291,2011-05-22,Summer,0,May,0,0,Sun,0,Clear/Partly Cloudy,0.54,0.5152,0.88,0.1642,31,100,131,Morning
3292,2011-05-22,Summer,0,May,1,0,Sun,0,Clear/Partly Cloudy,0.52,0.5,0.94,0.1343,17,81,98,Morning
3293,2011-05-22,Summer,0,May,2,0,Sun,0,Clear/Partly Cloudy,0.52,0.5,0.94,0.1045,18,50,68,Morning
3294,2011-05-22,Summer,0,May,3,0,Sun,0,Clear/Partly Cloudy,0.5,0.4848,1.0,0.1045,10,23,33,Morning
3295,2011-05-22,Summer,0,May,4,0,Sun,0,Clear/Partly Cloudy,0.5,0.4848,1.0,0.0,3,9,12,Morning
3296,2011-05-22,Summer,0,May,5,0,Sun,0,Clear/Partly Cloudy,0.5,0.4848,1.0,0.1045,1,5,6,Morning
3297,2011-05-22,Summer,0,May,6,0,Sun,0,Clear/Partly Cloudy,0.52,0.5,0.94,0.1045,5,13,18,Morning
3298,2011-05-22,Summer,0,May,7,0,Sun,0,Clear/Partly Cloudy,0.54,0.5152,0.88,0.1045,13,27,40,Morning
3299,2011-05-22,Summer,0,May,8,0,Sun,0,Clear/Partly Cloudy,0.6,0.5909,0.73,0.0896,29,65,94,Afternoon
3300,2011-05-22,Summer,0,May,9,0,Sun,0,Clear/Partly Cloudy,0.62,0.6061,0.69,0.1045,59,130,189,Afternoon
3301,2011-05-22,Summer,0,May,10,0,Sun,0,Clear/Partly Cloudy,0.64,0.6061,0.65,0.1343,135,170,305,Afternoon
3302,2011-05-22,Summer,0,May,11,0,Sun,0,Clear/Partly Cloudy,0.7,0.6515,0.54,0.194,164,209,373,Afternoon
3303,2011-05-22,Summer,0,May,12,0,Sun,0,Misty/Cloudy,0.72,0.6667,0.51,0.194,146,255,401,Afternoon
3304,2011-05-22,Summer,0,May,13,0,Sun,0,Misty/Cloudy,0.66,0.6212,0.54,0.2239,180,275,455,Afternoon
3305,2011-05-22,Summer,0,May,14,0,Sun,0,Light Snow/Rain,0.62,0.6061,0.69,0.194,125,191,316,Afternoon
3306,2011-05-22,Summer,0,May,15,0,Sun,0,Misty/Cloudy,0.66,0.6212,0.61,0.1642,110,221,331,Afternoon
3307,2011-05-22,Summer,0,May,16,0,Sun,0,Clear/Partly Cloudy,0.68,0.6364,0.61,0.1343,72,201,273,Night
3308,2011-05-22,Summer,0,May,17,0,Sun,0,Clear/Partly Cloudy,0.7,0.6515,0.58,0.2537,93,213,306,Night
3309,2011-05-22,Summer,0,May,18,0,Sun,0,Clear/Partly Cloudy,0.66,0.6212,0.61,0.2239,120,238,358,Night
3310,2011-05-22,Summer,0,May,19,0,Sun,0,Clear/Partly Cloudy,0.66,0.6212,0.61,0.194,107,193,300,Night
3311,2011-05-22,Summer,0,May,20,0,Sun,0,Clear/Partly Cloudy,0.64,0.6061,0.65,0.1642,57,174,231,Night
3312,2011-05-22,Summer,0,May,21,0,Sun,0,Clear/Partly Cloudy,0.62,0.5909,0.73,0.194,27,109,136,Night
3313,2011-05-22,Summer,0,May,22,0,Sun,0,Clear/Partly Cloudy,0.6,0.5606,0.83,0.1343,35,86,121,Night
3314,2011-05-22,Summer,0,May,23,0,Sun,0,Misty/Cloudy,0.58,0.5455,0.83,0.1343,19,46,65,Night
3315,2011-05-23,Summer,0,May,0,0,Mon,1,Misty/Cloudy,0.56,0.5303,0.88,0.1343,23,18,41,Morning
3316,2011-05-23,Summer,0,May,1,0,Mon,1,Clear/Partly Cloudy,0.56,0.5303,0.88,0.1045,4,5,9,Morning
3317,2011-05-23,Summer,0,May,2,0,Mon,1,Light Snow/Rain,0.56,0.5303,0.88,0.1642,2,3,5,Morning
3318,2011-05-23,Summer,0,May,3,0,Mon,1,Light Snow/Rain,0.54,0.5152,0.94,0.1642,0,4,4,Morning
3319,2011-05-23,Summer,0,May,4,0,Mon,1,Misty/Cloudy,0.54,0.5152,0.94,0.0,2,2,4,Morning
3320,2011-05-23,Summer,0,May,5,0,Mon,1,Misty/Cloudy,0.54,0.5152,0.94,0.0,0,11,11,Morning
3321,2011-05-23,Summer,0,May,6,0,Mon,1,Misty/Cloudy,0.54,0.5152,1.0,0.0,4,92,96,Morning
3322,2011-05-23,Summer,0,May,7,0,Mon,1,Misty/Cloudy,0.56,0.5303,0.94,0.1045,13,223,236,Morning
3323,2011-05-23,Summer,0,May,8,0,Mon,1,Clear/Partly Cloudy,0.6,0.5455,0.88,0.194,50,359,409,Afternoon
3324,2011-05-23,Summer,0,May,9,0,Mon,1,Clear/Partly Cloudy,0.6,0.5455,0.88,0.2239,36,131,167,Afternoon
3325,2011-05-23,Summer,0,May,10,0,Mon,1,Clear/Partly Cloudy,0.66,0.6212,0.74,0.2985,49,72,121,Afternoon
3326,2011-05-23,Summer,0,May,11,0,Mon,1,Clear/Partly Cloudy,0.68,0.6364,0.69,0.3881,73,107,180,Afternoon
3327,2011-05-23,Summer,0,May,12,0,Mon,1,Clear/Partly Cloudy,0.68,0.6364,0.69,0.3881,65,139,204,Afternoon
3328,2011-05-23,Summer,0,May,13,0,Mon,1,Misty/Cloudy,0.74,0.6818,0.58,0.4179,49,155,204,Afternoon
3329,2011-05-23,Summer,0,May,14,0,Mon,1,Misty/Cloudy,0.72,0.6818,0.62,0.5224,57,130,187,Afternoon
3330,2011-05-23,Summer,0,May,15,0,Mon,1,Misty/Cloudy,0.72,0.6818,0.62,0.4478,57,119,176,Afternoon
3331,2011-05-23,Summer,0,May,16,0,Mon,1,Misty/Cloudy,0.72,0.6818,0.62,0.2985,56,223,279,Night
3332,2011-05-23,Summer,0,May,17,0,Mon,1,Light Snow/Rain,0.72,0.6818,0.7,0.3881,56,373,429,Night
3333,2011-05-23,Summer,0,May,18,0,Mon,1,Clear/Partly Cloudy,0.7,0.6667,0.74,0.2836,68,385,453,Night
3334,2011-05-23,Summer,0,May,19,0,Mon,1,Clear/Partly Cloudy,0.7,0.6667,0.74,0.2239,56,302,358,Night
3335,2011-05-23,Summer,0,May,20,0,Mon,1,Clear/Partly Cloudy,0.64,0.5758,0.83,0.2239,39,271,310,Night
3336,2011-05-23,Summer,0,May,21,0,Mon,1,Clear/Partly Cloudy,0.64,0.5758,0.89,0.2239,33,155,188,Night
3337,2011-05-23,Summer,0,May,22,0,Mon,1,Clear/Partly Cloudy,0.62,0.5455,0.94,0.2239,25,106,131,Night
3338,2011-05-23,Summer,0,May,23,0,Mon,1,Misty/Cloudy,0.62,0.5606,0.88,0.194,19,53,72,Night
3339,2011-05-24,Summer,0,May,0,0,Tue,1,Misty/Cloudy,0.6,0.5152,0.94,0.194,12,23,35,Morning
3340,2011-05-24,Summer,0,May,1,0,Tue,1,Misty/Cloudy,0.6,0.5152,0.94,0.1642,6,9,15,Morning
3341,2011-05-24,Summer,0,May,2,0,Tue,1,Misty/Cloudy,0.6,0.5152,0.94,0.194,2,8,10,Morning
3342,2011-05-24,Summer,0,May,3,0,Tue,1,Misty/Cloudy,0.58,0.5455,0.94,0.1045,0,2,2,Morning
3343,2011-05-24,Summer,0,May,4,0,Tue,1,Clear/Partly Cloudy,0.6,0.5455,0.88,0.1045,1,3,4,Morning
3344,2011-05-24,Summer,0,May,5,0,Tue,1,Misty/Cloudy,0.58,0.5455,0.94,0.2537,2,22,24,Morning
3345,2011-05-24,Summer,0,May,6,0,Tue,1,Misty/Cloudy,0.58,0.5455,0.94,0.194,10,102,112,Morning
3346,2011-05-24,Summer,0,May,7,0,Tue,1,Light Snow/Rain,0.64,0.5909,0.78,0.194,26,288,314,Morning
3347,2011-05-24,Summer,0,May,8,0,Tue,1,Light Snow/Rain,0.62,0.5758,0.83,0.2239,31,403,434,Afternoon
3348,2011-05-24,Summer,0,May,9,0,Tue,1,Misty/Cloudy,0.64,0.6061,0.73,0.194,27,111,138,Afternoon
3349,2011-05-24,Summer,0,May,10,0,Tue,1,Clear/Partly Cloudy,0.7,0.6515,0.61,0.3284,18,90,108,Afternoon
3350,2011-05-24,Summer,0,May,11,0,Tue,1,Clear/Partly Cloudy,0.74,0.6667,0.51,0.2239,33,142,175,Afternoon
3351,2011-05-24,Summer,0,May,12,0,Tue,1,Clear/Partly Cloudy,0.76,0.6818,0.45,0.3881,41,129,170,Afternoon
3352,2011-05-24,Summer,0,May,13,0,Tue,1,Clear/Partly Cloudy,0.78,0.697,0.46,0.2537,38,152,190,Afternoon
3353,2011-05-24,Summer,0,May,14,0,Tue,1,Clear/Partly Cloudy,0.78,0.697,0.46,0.2836,27,126,153,Afternoon
3354,2011-05-24,Summer,0,May,15,0,Tue,1,Light Snow/Rain,0.74,0.6818,0.55,0.4179,59,129,188,Afternoon
3355,2011-05-24,Summer,0,May,16,0,Tue,1,Clear/Partly Cloudy,0.66,0.6212,0.69,0.194,52,225,277,Night
3356,2011-05-24,Summer,0,May,17,0,Tue,1,Clear/Partly Cloudy,0.7,0.6515,0.61,0.1045,56,492,548,Night
3357,2011-05-24,Summer,0,May,18,0,Tue,1,Clear/Partly Cloudy,0.7,0.6515,0.7,0.194,74,490,564,Night
3358,2011-05-24,Summer,0,May,19,0,Tue,1,Clear/Partly Cloudy,0.66,0.6212,0.74,0.194,45,310,355,Night
3359,2011-05-24,Summer,0,May,20,0,Tue,1,Clear/Partly Cloudy,0.66,0.6212,0.74,0.0896,39,241,280,Night
3360,2011-05-24,Summer,0,May,21,0,Tue,1,Clear/Partly Cloudy,0.64,0.5909,0.78,0.0896,21,168,189,Night
3361,2011-05-24,Summer,0,May,22,0,Tue,1,Light Snow/Rain,0.62,0.5606,0.88,0.2239,26,115,141,Night
3362,2011-05-24,Summer,0,May,23,0,Tue,1,Light Snow/Rain,0.66,0.6212,0.74,0.1642,13,53,66,Night
3363,2011-05-25,Summer,0,May,0,0,Wed,1,Light Snow/Rain,0.6,0.5606,0.83,0.2239,3,32,35,Morning
3364,2011-05-25,Summer,0,May,1,0,Wed,1,Light Snow/Rain,0.58,0.5455,0.83,0.194,6,2,8,Morning
3365,2011-05-25,Summer,0,May,2,0,Wed,1,Misty/Cloudy,0.56,0.5303,0.94,0.0,0,8,8,Morning
3366,2011-05-25,Summer,0,May,3,0,Wed,1,Clear/Partly Cloudy,0.54,0.5152,1.0,0.1343,0,9,9,Morning
