dateday,total,registered,recency,frequency,monetary,R_score,F_score,M_score,RFM_Segment,RFM_Score
2012-03-27,5102,4571,279,4571,5102,3,3,3,333,9
2012-03-28,5698,5024,278,5024,5698,3,4,3,343,10
2012-03-29,6133,5299,277,5299,6133,3,4,4,344,11
2012-03-30,5459,4663,276,4663,5459,3,3,3,333,9
2012-03-31,6235,3934,275,3934,6235,3,3,4,334,10
2012-04-01,6041,3694,274,3694,6041,3,3,4,334,10
2012-04-02,5936,4728,273,4728,5936,3,3,3,333,9
2012-04-03,6772,5424,272,5424,6772,3,4,4,344,11
2012-04-04,6436,5378,271,5378,6436,3,4,4,344,11
2012-04-05,6457,5265,270,5265,6457,3,4,4,344,11
2012-04-06,6460,4653,269,4653,6460,3,3,4,334,10
2012-04-07,6857,3605,268,3605,6857,3,2,4,324,9
2012-04-08,5169,2939,267,2939,5169,3,2,3,323,8
2012-04-09,5585,4680,266,4680,5585,3,3,3,333,9
2012-04-10,5918,5099,265,5099,5918,3,4,3,343,10
2012-04-11,4862,4380,264,4380,4862,3,3,3,333,9
2012-04-12,5409,4746,263,4746,5409,3,3,3,333,9
2012-04-13,6398,5146,262,5146,6398,3,4,4,344,11
2012-04-14,7460,4665,261,4665,7460,3,3,4,334,10
2012-04-15,7132,4286,260,4286,7132,3,3,4,334,10
2012-04-16,6370,5172,259,5172,6370,3,4,4,344,11
2012-04-17,6691,5702,258,5702,6691,3,4,4,344,11
2012-04-18,4367,4020,257,4020,4367,3,3,2,332,8
2012-04-19,6565,5719,256,5719,6565,3,4,4,344,11
2012-04-20,7290,5950,255,5950,7290,3,4,4,344,11
2012-04-21,6624,4083,254,4083,6624,3,3,4,334,10
2012-04-22,1027,907,253,907,1027,3,1,1,311,5
2012-04-23,3214,3019,252,3019,3214,3,2,2,322,7
2012-04-24,5633,5115,251,5115,5633,3,4,3,343,10
2012-04-25,6196,5541,250,5541,6196,3,4,4,344,11
2012-04-26,5026,4551,249,4551,5026,3,3,3,333,9
2012-04-27,6233,5219,248,5219,6233,3,4,4,344,11
2012-04-28,4220,3100,247,3100,4220,3,2,2,322,7
2012-04-29,6304,4075,246,4075,6304,3,3,4,334,10
2012-04-30,5572,4907,245,4907,5572,3,4,3,343,10
2012-05-01,5740,5087,244,5087,5740,3,4,3,343,10
2012-05-02,6169,5502,243,5502,6169,3,4,4,344,11
2012-05-03,6421,5657,242,5657,6421,3,4,4,344,11
2012-05-04,6296,5227,241,5227,6296,3,4,4,344,11
2012-05-05,6883,4387,240,4387,6883,3,3,4,334,10
2012-05-06,6359,4224,239,4224,6359,3,3,4,334,10
2012-05-07,6273,5265,238,5265,6273,3,4,4,344,11
2012-05-08,5728,4990,237,4990,5728,3,4,3,343,10
2012-05-09,4717,4097,236,4097,4717,3,3,3,333,9
2012-05-10,6572,5546,235,5546,6572,3,4,4,344,11
2012-05-11,7030,5711,234,5711,7030,3,4,4,344,11
2012-05-12,7429,4807,233,4807,7429,3,4,4,344,11
2012-05-13,6118,3946,232,3946,6118,3,3,4,334,10
2012-05-14,2843,2501,231,2501,2843,3,2,1,321,6
2012-05-15,5115,4490,230,4490,5115,3,3,3,333,9
2012-05-16,7424,6433,229,6433,7424,3,4,4,344,11
2012-05-17,7384,6142,228,6142,7384,3,4,4,344,11
2012-05-18,7639,6118,227,6118,7639,3,4,4,344,11
2012-05-19,8294,4884,226,4884,8294,3,4,4,344,11
2012-05-20,7129,4425,225,4425,7129,3,3,4,334,10
2012-05-21,4359,3729,224,3729,4359,3,3,2,332,8
2012-05-22,6073,5254,223,5254,6073,3,4,4,344,11
2012-05-23,5260,4494,222,4494,5260,3,3,3,333,9
2012-05-24,6770,5711,221,5711,6770,3,4,4,344,11
2012-05-25,6734,5317,220,5317,6734,3,4,4,344,11
2012-05-26,6536,3681,219,3681,6536,3,3,4,334,10
2012-05-27,6591,3308,218,3308,6591,3,2,4,324,9
2012-05-28,6043,3486,217,3486,6043,3,2,4,324,9
2012-05-29,5743,4863,216,4863,5743,3,4,3,343,10
2012-05-30,6855,6110,215,6110,6855,3,4,4,344,11
2012-05-31,7338,6238,214,6238,7338,3,4,4,344,11
2012-06-01,4127,3594,213,3594,4127,3,2,2,322,7
2012-06-02,8120,5325,212,5325,8120,3,4,4,344,11
2012-06-03,7641,5147,211,5147,7641,3,4,4,344,11
2012-06-04,6998,5927,210,5927,6998,3,4,4,344,11
2012-06-05,7001,6033,209,6033,7001,3,4,4,344,11
2012-06-06,7055,6028,208,6028,7055,3,4,4,344,11
2012-06-07,7494,6456,207,6456,7494,3,4,4,344,11
2012-06-08,7736,6248,206,6248,7736,3,4,4,344,11
2012-06-09,7498,4790,205,4790,7498,3,4,4,344,11
2012-06-10,6598,4374,204,4374,6598,3,3,4,334,10
2012-06-11,6664,5647,203,5647,6664,3,4,4,344,11
2012-06-12,4972,4495,202,4495,4972,3,3,3,333,9
2012-06-13,7421,6248,201,6248,7421,3,4,4,344,11
2012-06-14,7363,6183,200,6183,7363,3,4,4,344,11
2012-06-15,7665,6102,199,6102,7665,3,4,4,344,11
2012-06-16,7702,4739,198,4739,7702,3,3,4,334,10
2012-06-17,6978,4344,197,4344,6978,3,3,4,334,10
2012-06-18,5099,4446,196,4446,5099,3,3,3,333,9
2012-06-19,6825,5857,195,5857,6825,3,4,4,344,11
2012-06-20,6211,5339,194,5339,6211,3,4,4,344,11
2012-06-21,5905,5127,193,5127,5905,3,4,3,343,10
2012-06-22,5823,4859,192,4859,5823,3,4,3,343,10
2012-06-23,7458,4801,191,4801,7458,3,4,4,344,11
2012-06-24,6891,4340,190,4340,6891,3,3,4,334,10
2012-06-25,6779,5640,189,5640,6779,3,4,4,344,11
2012-06-26,7442,6365,188,6365,7442,3,4,4,344,11
2012-06-27,7335,6258,187,6258,7335,3,4,4,344,11
2012-06-28,6879,5958,186,5958,6879,3,4,4,344,11
2012-06-29,5463,4634,185,4634,5463,3,3,3,333,9
2012-06-30,5687,4232,184,4232,5687,3,3,3,333,9
2012-07-01,5531,4110,183,4110,5531,3,3,3,333,9
2012-07-02,6227,5323,182,5323,6227,4,4,4,444,12
2012-07-03,6660,5608,181,5608,6660,4,4,4,444,12
2012-07-04,7403,4841,180,4841,7403,4,4,4,444,12
2012-07-05,6241,4836,179,4836,6241,4,4,4,444,12
2012-07-06,6207,4841,178,4841,6207,4,4,4,444,12
2012-07-07,4840,3392,177,3392,4840,4,2,3,423,9
2012-07-08,4672,3469,176,3469,4672,4,2,3,423,9
2012-07-09,6569,5571,175,5571,6569,4,4,4,444,12
2012-07-10,6290,5336,174,5336,6290,4,4,4,444,12
2012-07-11,7264,6289,173,6289,7264,4,4,4,444,12
2012-07-12,7446,6414,172,6414,7446,4,4,4,444,12
2012-07-13,7499,5988,171,5988,7499,4,4,4,444,12
2012-07-14,6969,4614,170,4614,6969,4,3,4,434,11
2012-07-15,6031,4111,169,4111,6031,4,3,4,434,11
2012-07-16,6830,5742,168,5742,6830,4,4,4,444,12
2012-07-17,6786,5865,167,5865,6786,4,4,4,444,12
2012-07-18,5713,4914,166,4914,5713,4,4,3,443,11
2012-07-19,6591,5703,165,5703,6591,4,4,4,444,12
2012-07-20,5870,5123,164,5123,5870,4,4,3,443,11
2012-07-21,4459,3195,163,3195,4459,4,2,2,422,8
2012-07-22,7410,4866,162,4866,7410,4,4,4,444,12
2012-07-23,6966,5831,161,5831,6966,4,4,4,444,12
2012-07-24,7592,6452,160,6452,7592,4,4,4,444,12
2012-07-25,8173,6790,159,6790,8173,4,4,4,444,12
2012-07-26,6861,5825,158,5825,6861,4,4,4,444,12
2012-07-27,6904,5645,157,5645,6904,4,4,4,444,12
2012-07-28,6685,4451,156,4451,6685,4,3,4,434,11
2012-07-29,6597,4444,155,4444,6597,4,3,4,434,11
2012-07-30,7105,6065,154,6065,7105,4,4,4,444,12
2012-07-31,7216,6248,153,6248,7216,4,4,4,444,12
2012-08-01,7580,6506,152,6506,7580,4,4,4,444,12
2012-08-02,7261,6278,151,6278,7261,4,4,4,444,12
2012-08-03,7175,5847,150,5847,7175,4,4,4,444,12
2012-08-04,6824,4479,149,4479,6824,4,3,4,434,11
2012-08-05,5464,3757,148,3757,5464,4,3,3,433,10
2012-08-06,7013,5780,147,5780,7013,4,4,4,444,12
2012-08-07,7273,5995,146,5995,7273,4,4,4,444,12
2012-08-08,7534,6271,145,6271,7534,4,4,4,444,12
2012-08-09,7286,6090,144,6090,7286,4,4,4,444,12
2012-08-10,5786,4721,143,4721,5786,4,3,3,433,10
2012-08-11,6299,4052,142,4052,6299,4,3,4,434,11
2012-08-12,6544,4362,141,4362,6544,4,3,4,434,11
2012-08-13,6883,5676,140,5676,6883,4,4,4,444,12
2012-08-14,6784,5656,139,5656,6784,4,4,4,444,12
2012-08-15,7347,6149,138,6149,7347,4,4,4,444,12
2012-08-16,7605,6267,137,6267,7605,4,4,4,444,12
2012-08-17,7148,5665,136,5665,7148,4,4,4,444,12
2012-08-18,7865,5038,135,5038,7865,4,4,4,444,12
2012-08-19,4549,3341,134,3341,4549,4,2,3,423,9
2012-08-20,6530,5504,133,5504,6530,4,4,4,444,12
2012-08-21,7006,5925,132,5925,7006,4,4,4,444,12
2012-08-22,7375,6281,131,6281,7375,4,4,4,444,12
2012-08-23,7765,6402,130,6402,7765,4,4,4,444,12
2012-08-24,7582,6257,129,6257,7582,4,4,4,444,12
2012-08-25,6053,4224,128,4224,6053,4,3,4,434,11
2012-08-26,5255,3772,127,3772,5255,4,3,3,433,10
2012-08-27,6917,5928,126,5928,6917,4,4,4,444,12
2012-08-28,7040,6105,125,6105,7040,4,4,4,444,12
2012-08-29,7697,6520,124,6520,7697,4,4,4,444,12
2012-08-30,7713,6541,123,6541,7713,4,4,4,444,12
2012-08-31,7350,5917,122,5917,7350,4,4,4,444,12
2012-09-01,6140,3788,121,3788,6140,4,3,4,434,11
2012-09-02,5810,3197,120,3197,5810,4,2,3,423,9
2012-09-03,6034,4069,119,4069,6034,4,3,4,434,11
2012-09-04,6864,5997,118,5997,6864,4,4,4,444,12
2012-09-05,7112,6280,117,6280,7112,4,4,4,444,12
2012-09-06,6203,5592,116,5592,6203,4,4,4,444,12
2012-09-07,7504,6459,115,6459,7504,4,4,4,444,12
2012-09-08,5976,4419,114,4419,5976,4,3,4,434,11
2012-09-09,8227,5657,113,5657,8227,4,4,4,444,12
2012-09-10,7525,6407,112,6407,7525,4,4,4,444,12
2012-09-11,7767,6697,111,6697,7767,4,4,4,444,12
2012-09-12,7870,6820,110,6820,7870,4,4,4,444,12
2012-09-13,7804,6750,109,6750,7804,4,4,4,444,12
2012-09-14,8009,6630,108,6630,8009,4,4,4,444,12
2012-09-15,8714,5554,107,5554,8714,4,4,4,444,12
2012-09-16,7333,5167,106,5167,7333,4,4,4,444,12
2012-09-17,6869,5847,105,5847,6869,4,4,4,444,12
2012-09-18,4073,3702,104,3702,4073,4,3,2,432,9
2012-09-19,7591,6803,103,6803,7591,4,4,4,444,12
2012-09-20,7720,6781,102,6781,7720,4,4,4,444,12
2012-09-21,8167,6917,101,6917,8167,4,4,4,444,12
2012-09-22,8395,5883,100,5883,8395,4,4,4,444,12
2012-09-23,7907,5453,99,5453,7907,4,4,4,444,12
2012-09-24,7436,6435,98,6435,7436,4,4,4,444,12
2012-09-25,7538,6693,97,6693,7538,4,4,4,444,12
2012-09-26,7733,6946,96,6946,7733,4,4,4,444,12
2012-09-27,7393,6642,95,6642,7393,4,4,4,444,12
2012-09-28,7415,6370,94,6370,7415,4,4,4,444,12
2012-09-29,8555,5966,93,5966,8555,4,4,4,444,12
2012-09-30,6889,4874,92,4874,6889,4,4,4,444,12
2012-10-01,6778,6015,91,6015,6778,4,4,4,444,12
2012-10-02,4639,4324,90,4324,4639,4,3,3,433,10
2012-10-03,7572,6844,89,6844,7572,4,4,4,444,12
2012-10-04,7328,6437,88,6437,7328,4,4,4,444,12
2012-10-05,8156,6640,87,6640,8156,4,4,4,444,12
2012-10-06,7965,4934,86,4934,7965,4,4,4,444,12
2012-10-07,3510,2729,85,2729,3510,4,2,2,422,8
2012-10-08,5478,4604,84,4604,5478,4,3,3,433,10
2012-10-09,6392,5791,83,5791,6392,4,4,4,444,12
2012-10-10,7691,6911,82,6911,7691,4,4,4,444,12
2012-10-11,7570,6736,81,6736,7570,4,4,4,444,12
2012-10-12,7282,6222,80,6222,7282,4,4,4,444,12
2012-10-13,7109,4857,79,4857,7109,4,4,4,444,12
2012-10-14,6639,4559,78,4559,6639,4,3,4,434,11
2012-10-15,5875,5115,77,5115,5875,4,4,3,443,11
2012-10-16,7534,6612,76,6612,7534,4,4,4,444,12
2012-10-17,7461,6482,75,6482,7461,4,4,4,444,12
2012-10-18,7509,6501,74,6501,7509,4,4,4,444,12
2012-10-19,5424,4671,73,4671,5424,4,3,3,433,10
2012-10-20,8090,5284,72,5284,8090,4,4,4,444,12
2012-10-21,6824,4692,71,4692,6824,4,3,4,434,11
2012-10-22,7058,6228,70,6228,7058,4,4,4,444,12
2012-10-23,7466,6625,69,6625,7466,4,4,4,444,12
2012-10-24,7693,6898,68,6898,7693,4,4,4,444,12
2012-10-25,7359,6484,67,6484,7359,4,4,4,444,12
2012-10-26,7444,6262,66,6262,7444,4,4,4,444,12
2012-10-27,7852,5209,65,5209,7852,4,4,4,444,12
2012-10-28,4459,3461,64,3461,4459,4,2,2,422,8
2012-10-29,22,20,63,20,22,4,1,1,411,6
2012-10-30,1096,1009,62,1009,1096,4,1,1,411,6
2012-10-31,5566,5147,61,5147,5566,4,4,3,443,11
2012-11-01,5986,5520,60,5520,5986,4,4,4,444,12
2012-11-02,5847,5229,59,5229,5847,4,4,3,443,11
2012-11-03,5138,4109,58,4109,5138,4,3,3,433,10
2012-11-04,5107,3906,57,3906,5107,4,3,3,433,10
2012-11-05,5259,4881,56,4881,5259,4,4,3,443,11
2012-11-06,5686,5220,55,5220,5686,4,4,3,443,11
2012-11-07,5035,4709,54,4709,5035,4,3,3,433,10
2012-11-08,5315,4975,53,4975,5315,4,4,3,443,11
2012-11-09,5992,5283,52,5283,5992,4,4,4,444,12
2012-11-10,6536,4446,51,4446,6536,4,3,4,434,11
2012-11-11,6852,4562,50,4562,6852,4,3,4,434,11
2012-11-12,6269,5172,49,5172,6269,4,4,4,444,12
2012-11-13,4094,3767,48,3767,4094,4,3,2,432,9
2012-11-14,5495,5122,47,5122,5495,4,4,3,443,11
2012-11-15,5445,5125,46,5125,5445,4,4,3,443,11
2012-11-16,5698,5214,45,5214,5698,4,4,3,443,11
2012-11-17,5629,4316,44,4316,5629,4,3,3,433,10
2012-11-18,4669,3747,43,3747,4669,4,3,3,433,10
2012-11-19,5499,5050,42,5050,5499,4,4,3,443,11
2012-11-20,5634,5100,41,5100,5634,4,4,3,443,11
2012-11-21,5146,4531,40,4531,5146,4,3,3,433,10
2012-11-22,2425,1470,39,1470,2425,4,1,1,411,6
2012-11-23,3910,2307,38,2307,3910,4,1,2,412,7
2012-11-24,2277,1745,37,1745,2277,4,1,1,411,6
2012-11-25,2424,2115,36,2115,2424,4,1,1,411,6
2012-11-26,5087,4750,35,4750,5087,4,3,3,433,10
2012-11-27,3959,3836,34,3836,3959,4,3,2,432,9
2012-11-28,5260,5062,33,5062,5260,4,4,3,443,11
2012-11-29,5323,5080,32,5080,5323,4,4,3,443,11
2012-11-30,5668,5306,31,5306,5668,4,4,3,443,11
2012-12-01,5191,4240,30,4240,5191,4,3,3,433,10
2012-12-02,4649,3757,29,3757,4649,4,3,3,433,10
2012-12-03,6234,5679,28,5679,6234,4,4,4,444,12
2012-12-04,6606,6055,27,6055,6606,4,4,4,444,12
2012-12-05,5729,5398,26,5398,5729,4,4,3,443,11
2012-12-06,5375,5035,25,5035,5375,4,4,3,443,11
2012-12-07,5008,4659,24,4659,5008,4,3,3,433,10
2012-12-08,5582,4429,23,4429,5582,4,3,3,433,10
2012-12-09,3228,2787,22,2787,3228,4,2,2,422,8
2012-12-10,5170,4841,21,4841,5170,4,4,3,443,11
2012-12-11,5501,5219,20,5219,5501,4,4,3,443,11
2012-12-12,5319,5009,19,5009,5319,4,4,3,443,11
2012-12-13,5532,5107,18,5107,5532,4,4,3,443,11
2012-12-14,5611,5182,17,5182,5611,4,4,3,443,11
2012-12-15,5047,4280,16,4280,5047,4,3,3,433,10
2012-12-16,3786,3248,15,3248,3786,4,2,2,422,8
2012-12-17,4585,4373,14,4373,4585,4,3,3,433,10
2012-12-18,5557,5124,13,5124,5557,4,4,3,443,11
2012-12-19,5267,4934,12,4934,5267,4,4,3,443,11
2012-12-20,4128,3814,11,3814,4128,4,3,2,432,9
2012-12-21,3623,3402,10,3402,3623,4,2,2,422,8
2012-12-22,1749,1544,9,1544,1749,4,1,1,411,6
2012-12-23,1787,1379,8,1379,1787,4,1,1,411,6
2012-12-24,920,746,7,746,920,4,1,1,411,6
2012-12-25,1013,573,6,573,1013,4,1,1,411,6
2012-12-26,441,432,5,432,441,4,1,1,411,6
2012-12-27,2114,1867,4,1867,2114,4,1,1,411,6
2012-12-28,3095,2451,3,2451,3095,4,1,1,411,6
2012-12-29,1341,1182,2,1182,1341,4,1,1,411,6
2012-12-30,1796,1432,1,1432,1796,4,1,1,411,6
2012-12-31,2729,2290,0,2290,2729,4,1,1,411,6
